ID,year,use,floors,height,street facing,material,N %,S %,E %,W %,total_wwr,window_type,blinds,window_material
228,1919.00,Residential,2.00,5.00,Y,Concrete,,,,0.09,0.09,Punched,Y- blinds,PVC
229,1919.00,Residential,2.00,6.00,Y,Concrete,,,0.09,,0.09,Punched,N,PVC
230,1961.00,Residential,8.00,23.00,N,Concrete,,,,0.38,0.38,Grouped Punched,Y- blinds,PVC
231,1919.00,Residential,2.00,6.00,Y,Concrete,,,,0.10,0.10,Punched,Y- blinds,PVC
232,1961.00,Residential,5.00,15.00,N,Concrete,0.09,,,,0.09,Punched,Y- blinds,Aluminum
233,1961.00,Residential,5.00,15.00,Y,Concrete,,0.39,,,0.39,Grouped Punched,Y- blinds,PVC
234,1961.00,Residential,5.00,15.00,N,Concrete,0.12,,,,0.12,Punched,Y- blinds,PVC
235,1961.00,Residential,5.00,15.00,N,Concrete,0.09,,,,0.09,Punched,Y- blinds,PVC
236,1961.00,Residential,5.00,15.00,N,Concrete,,,0.15,,0.15,Punched,Y- blinds,Aluminum
237,1961.00,Residential,1.00,2.00,N,Concrete,,,,0.39,0.39,Grouped Punched,Y- blinds,PVC
238,1961.00,Residential,9.00,28.00,Y,Concrete,,0.31,,,0.31,Grouped Punched,Y- blinds,Aluminum
239,1961.00,Residential,10.00,29.00,Y,Concrete,,0.41,,,0.41,Grouped Punched,Y- blinds,Aluminum
240,1961.00,Residential,5.00,15.00,Y,Concrete,,0.11,,,0.11,Punched,Y- blinds,Aluminum
241,1961.00,Residential,4.00,13.00,Y,Concrete,,,0.15,,0.15,Punched,Y- blinds,Aluminum
242,1961.00,Residential,4.00,13.00,Y,Concrete,,,0.16,,0.16,Punched,Y- blinds,Aluminum
243,1961.00,Residential,1.00,3.00,Y,Concrete,,,,0.07,0.07,Punched,Y- blinds,Wood
244,1961.00,Office,3.00,10.00,N,Concrete,0.38,,,,0.38,Ribbon,N,Aluminum
245,1961.00,Restaurant,3.00,9.00,Y,Concrete,0.30,,,,0.30,Ribbon,Y- blinds,PVC
246,1961.00,Residential,7.00,22.00,Y,Concrete,,0.15,,,0.15,Punched,Y- blinds,Aluminum
247,1961.00,Residential,5.00,15.00,Y,Concrete,,,,0.13,0.13,Punched,Y- blinds,PVC
248,1961.00,Hospital,2.00,6.00,Y,Concrete,,,0.15,,0.15,Grouped Punched,"Y- blinds, overhang",Aluminum
249,1961.00,Residential,6.00,19.00,Y,Concrete,,,0.13,,0.13,Grouped Punched,Y- blinds,PVC
250,1961.00,Residential,6.00,19.00,Y,Concrete,,,,0.30,0.30,Grouped Punched,Y- blinds,PVC
251,1961.00,Residential,5.00,16.00,Y,Concrete,,0.18,,,0.18,Punched,"Y- blinds, overhang",PVC
252,1961.00,Residential,9.00,26.00,Y,Concrete,,,0.18,,0.18,Grouped Punched,Y- blinds,PVC
253,1961.00,Residential,5.00,16.00,Y,Concrete,,0.16,,,0.16,Grouped Punched,Y- blinds,PVC
254,1961.00,Residential,5.00,15.00,Y,Concrete,,0.28,,,0.28,Grouped Punched,Y- blinds,PVC
255,1961.00,Retail,1.00,3.00,Y,Concrete,0.14,,,,0.14,Punched,Y- blinds,Aluminum
256,1961.00,Residential,9.00,26.00,Y,Concrete,,,,0.08,0.08,Punched,Y- blinds,Aluminum
257,1961.00,Office,5.00,14.00,Y,Concrete,0.39,,,,0.39,Ribbon,N,Aluminum
258,1961.00,Residential,5.00,16.00,Y,Concrete,,,0.22,,0.22,Grouped Punched,Y- blinds,Aluminum
259,1961.00,Office,3.00,10.00,N,Concrete,,0.07,,,0.07,Punched,N,Aluminum
260,1961.00,Retail,5.00,14.00,Y,Concrete,,0.24,,,0.24,Ribbon,"Y- blinds, overhang",Aluminum
261,1961.00,Residential,8.00,23.00,Y,Concrete,,0.14,,,0.14,Grouped Punched,Y- blinds,PVC
262,1961.00,Residential,7.00,22.00,Y,Concrete,,0.15,,,0.15,Grouped Punched,Y- blinds,PVC
263,1961.00,Residential,2.00,6.00,Y,Concrete,,,,0.17,0.17,Grouped Punched,Y- blinds,Aluminum
264,1961.00,Residential,2.00,5.00,Y,Concrete,,,,0.20,0.20,Grouped Punched,Y- blinds,Aluminum
265,1961.00,Residential,2.00,6.00,Y,Concrete,,,,0.13,0.13,Punched,Y- blinds,Aluminum
266,1961.00,Residential,1.00,4.00,Y,Concrete,,,,0.07,0.07,Grouped Punched,Y- blinds,PVC
267,1961.00,Residential,2.00,5.00,Y,Concrete,,,,0.12,0.12,Grouped Punched,Y- blinds,Aluminum
268,1961.00,Residential,8.00,23.00,Y,Concrete,,,,0.36,0.36,Grouped Punched,Y- blinds,PVC
269,1961.00,Residential,5.00,15.00,Y,Concrete,,,,0.30,0.30,Grouped Punched,Y- blinds,PVC
270,1961.00,Residential,5.00,15.00,Y,Concrete,,,,0.30,0.30,Grouped Punched,Y- blinds,PVC
271,1961.00,Residential,5.00,15.00,Y,Concrete,,,,0.30,0.30,Grouped Punched,Y- blinds,PVC
272,1961.00,Residential,5.00,15.00,Y,Concrete,,,,0.30,0.30,Grouped Punched,Y- blinds,PVC
273,1961.00,Residential,5.00,16.00,Y,Concrete,,,,0.30,0.30,Grouped Punched,Y- blinds,PVC
274,1961.00,Residential,5.00,14.00,Y,Concrete,,,0.16,0.17,0.17,Grouped Punched,Y- blinds,PVC
275,1961.00,Residential,5.00,15.00,Y,Concrete,,,0.16,0.17,0.17,Grouped Punched,Y- blinds,PVC
276,1961.00,Residential,4.00,13.00,Y,Concrete,,,0.16,0.17,0.17,Grouped Punched,Y- blinds,PVC
277,1961.00,Residential,5.00,14.00,Y,Concrete,,,0.16,0.17,0.17,Grouped Punched,Y- blinds,PVC
278,1961.00,Residential,5.00,14.00,Y,Concrete,,,0.16,0.17,0.17,Grouped Punched,Y- blinds,PVC
279,1961.00,Residential,5.00,14.00,Y,Concrete,,,0.16,0.17,0.17,Grouped Punched,Y- blinds,PVC
280,1961.00,Residential,5.00,15.00,Y,Concrete,,,0.16,0.17,0.17,Grouped Punched,Y- blinds,PVC
281,1961.00,Residential,5.00,15.00,Y,Concrete,,,0.16,0.17,0.17,Grouped Punched,Y- blinds,PVC
282,1961.00,Residential,5.00,15.00,Y,Concrete,,,0.16,0.17,0.17,Grouped Punched,Y- blinds,PVC
283,1961.00,Residential,5.00,14.00,Y,Concrete,,0.16,0.16,0.07,0.13,Punched,Y- blinds,Aluminum
284,1961.00,Residential,5.00,14.00,Y,Concrete,0.07,0.16,,,0.12,Punched,Y- blinds,Aluminum
285,1961.00,Residential,6.00,19.00,N,Concrete,,,0.12,0.17,0.15,Punched,Y- blinds,Aluminum
286,1961.00,Residential,5.00,16.00,N,Concrete,,,0.12,0.17,0.15,Punched,Y- blinds,Aluminum
287,1961.00,Residential,5.00,16.00,N,Concrete,,,0.17,0.12,0.15,Punched,Y- blinds,Aluminum
288,1961.00,Residential,8.00,23.00,N,Concrete,,,0.17,0.12,0.15,Punched,Y- blinds,Aluminum
289,1961.00,Residential,7.00,22.00,Y,Concrete,0.08,0.23,,,0.16,Punched,Y- blinds,Aluminum
290,1961.00,Residential,7.00,22.00,Y,Concrete,0.08,0.23,,,0.16,Punched,Y- blinds,Aluminum
291,1961.00,Residential,8.00,24.00,Y,Concrete,0.08,0.23,,,0.16,Punched,Y- blinds,Aluminum
292,1961.00,Residential,5.00,14.00,Y,Concrete,0.24,0.12,,,0.18,Grouped Punched,"Y- blinds, overhang",PVC
293,1961.00,Residential,5.00,16.00,Y,Concrete,0.24,0.12,,,0.18,Grouped Punched,"Y- blinds, overhang",PVC
294,1961.00,Residential,5.00,16.00,Y,Concrete,0.24,0.12,,,0.18,Grouped Punched,"Y- blinds, overhang",PVC
295,1961.00,Residential,5.00,15.00,Y,Concrete,0.24,0.12,,,0.18,Grouped Punched,"Y- blinds, overhang",PVC
296,1961.00,Residential,5.00,15.00,Y,Concrete,0.12,0.24,,,0.18,Grouped Punched,"Y- blinds, overhang",PVC
297,1961.00,Residential,6.00,17.00,Y,Concrete,0.12,0.24,,,0.18,Grouped Punched,"Y- blinds, overhang",PVC
298,1961.00,Residential,5.00,16.00,Y,Concrete,0.12,0.24,,,0.18,Grouped Punched,"Y- blinds, overhang",PVC
299,1961.00,Residential,5.00,15.00,Y,Concrete,0.12,0.24,,,0.18,Grouped Punched,"Y- blinds, overhang",PVC
300,1961.00,Residential,5.00,14.00,Y,Concrete,,0.15,,,0.15,Punched,Y- blinds,Aluminum
301,1961.00,Residential,5.00,16.00,Y,Concrete,,0.16,,,0.16,Punched,Y- blinds,PVC
302,1961.00,Residential,5.00,16.00,Y,Concrete,,0.15,,,0.15,Punched,Y- blinds,PVC
303,1961.00,Residential,6.00,17.00,Y,Concrete,,0.14,,,0.14,Punched,Y- blinds,PVC
304,1961.00,Residential,9.00,27.00,Y,Concrete,,0.08,,,0.08,Punched,Y- blinds,PVC
305,1961.00,Residential,9.00,27.00,Y,Concrete,0.20,,,,0.20,Punched,Y- blinds,PVC
306,1961.00,Residential,6.00,17.00,Y,Concrete,,0.15,,,0.15,Punched,Y- blinds,PVC
307,1961.00,Residential,5.00,15.00,Y,Concrete,,,0.23,,0.23,Grouped Punched,Y- blinds,PVC
308,1961.00,Residential,9.00,27.00,Y,Concrete,0.14,,,,0.14,Grouped Punched,Y- blinds,PVC
309,1961.00,Residential,5.00,16.00,Y,Concrete,0.20,,,,0.20,Grouped Punched,Y- blinds,PVC
310,1961.00,Residential,7.00,21.00,Y,Concrete,,,0.26,,0.26,Grouped Punched,Y- blinds,PVC
311,1961.00,Residential,6.00,17.00,Y,Concrete,0.33,0.17,,,0.25,Grouped Punched,Y- blinds,PVC
312,1961.00,Residential,6.00,17.00,Y,Concrete,0.33,0.17,,,0.25,Grouped Punched,Y- blinds,PVC
313,1961.00,Residential,6.00,17.00,Y,Concrete,0.33,0.17,,,0.25,Grouped Punched,Y- blinds,PVC
314,1961.00,Residential,6.00,17.00,Y,Concrete,0.33,0.17,,,0.25,Grouped Punched,Y- blinds,PVC
315,1961.00,Residential,5.00,16.00,Y,Concrete,0.33,0.17,,,0.25,Grouped Punched,Y- blinds,PVC
316,1961.00,Residential,6.00,17.00,Y,Concrete,0.33,0.17,,,0.25,Grouped Punched,Y- blinds,PVC
317,1961.00,Residential,8.00,25.00,Y,Concrete,0.16,0.30,,,0.23,Ribbon,Y- blinds,Aluminum
318,1961.00,Residential,9.00,26.00,Y,Concrete,0.16,0.30,,,0.23,Ribbon,Y- blinds,Aluminum
319,1961.00,Residential,9.00,26.00,Y,Concrete,,,0.30,0.16,0.23,Ribbon,Y- blinds,Aluminum
320,1961.00,Residential,8.00,25.00,Y,Concrete,,,0.30,0.16,0.23,Ribbon,Y- blinds,Aluminum
321,1961.00,Residential,9.00,26.00,Y,Concrete,,,,0.17,0.17,Punched,Y- blinds,Aluminum
322,1961.00,Residential,9.00,26.00,Y,Concrete,,,,0.17,0.17,Punched,Y- blinds,Aluminum
323,1961.00,Residential,9.00,26.00,Y,Concrete,,,,0.17,0.17,Punched,Y- blinds,Aluminum
324,1961.00,Residential,9.00,26.00,Y,Concrete,,,,0.17,0.17,Punched,Y- blinds,Aluminum
325,1961.00,Residential,9.00,26.00,Y,Concrete,,,,0.17,0.17,Punched,Y- blinds,Aluminum
326,1961.00,Residential,9.00,26.00,Y,Concrete,,,,0.17,0.17,Punched,Y- blinds,Aluminum
327,1961.00,Residential,9.00,27.00,Y,Concrete,,,,0.17,0.17,Punched,Y- blinds,Aluminum
328,1961.00,Residential,9.00,26.00,Y,Concrete,,,,0.17,0.17,Punched,Y- blinds,Aluminum
329,1961.00,Residential,9.00,27.00,Y,Concrete,,,,0.17,0.17,Punched,Y- blinds,Aluminum
330,1961.00,Residential,9.00,27.00,Y,Concrete,,,,0.17,0.17,Punched,Y- blinds,Aluminum
331,1991.00,Residential,6.00,17.00,Y,Concrete,0.09,,,,0.09,Punched,Y- blinds,PVC
332,1991.00,Residential,7.00,21.00,Y,Concrete,,,0.22,,0.22,Grouped Punched,Y- blinds,PVC
333,1991.00,Residential,7.00,21.00,Y,Concrete,,,0.13,,0.13,Punched,Y- blinds,PVC
334,1991.00,Residential,7.00,20.00,Y,Concrete,,,0.14,,0.14,Grouped Punched,Y- blinds,PVC
335,1991.00,Residential,9.00,27.00,Y,Concrete,,,,0.21,0.21,Punched,Y- blinds,Aluminum
336,1961.00,Residential,10.00,29.00,Y,Concrete,,,,0.13,0.13,Punched,Y- blinds,Aluminum
337,1961.00,Residential,9.00,27.00,Y,Concrete,,,,0.14,0.14,Punched,Y- blinds,Aluminum
338,1961.00,Residential,9.00,26.00,Y,Concrete,,,,0.15,0.15,Punched,Y- blinds,Aluminum
339,1991.00,Residential,9.00,26.00,Y,Concrete,,,,0.11,0.11,Punched,Y- blinds,Aluminum
340,1991.00,Residential,6.00,19.00,Y,Concrete,,0.16,,,0.16,Punched,Y- blinds,PVC
341,1961.00,Residential,8.00,25.00,Y,Concrete,,,,0.25,0.25,Grouped Punched,Y- blinds,PVC
342,1991.00,Residential,6.00,18.00,Y,Concrete,0.19,0.11,,,0.15,Punched,Y- blinds,PVC
343,1991.00,Residential,6.00,17.00,Y,Concrete,0.19,0.11,,,0.15,Punched,Y- blinds,PVC
344,1991.00,Residential,6.00,17.00,Y,Concrete,0.19,0.11,,,0.15,Punched,Y- blinds,PVC
345,1991.00,Residential,6.00,17.00,Y,Concrete,0.19,0.11,,,0.15,Punched,Y- blinds,PVC
346,1991.00,Residential,6.00,18.00,Y,Concrete,0.19,0.11,,,0.15,Punched,Y- blinds,PVC
347,1991.00,Residential,6.00,17.00,Y,Concrete,0.16,,,,0.16,Punched,Y- blinds,PVC
348,1991.00,Residential,6.00,17.00,Y,Concrete,0.16,,,,0.16,Punched,Y- blinds,PVC
349,1991.00,Residential,6.00,17.00,Y,Concrete,0.16,,,,0.16,Punched,Y- blinds,PVC
350,1991.00,Residential,6.00,17.00,Y,Concrete,0.16,,,,0.16,Punched,Y- blinds,PVC
351,1991.00,Residential,6.00,17.00,Y,Concrete,0.16,,,,0.16,Punched,Y- blinds,PVC
352,1991.00,Residential,6.00,17.00,Y,Concrete,0.16,,,,0.16,Punched,Y- blinds,PVC
353,1991.00,Residential,9.00,27.00,Y,Concrete,,,0.11,,0.11,Punched,Y- blinds,PVC
354,1991.00,Residential,9.00,27.00,Y,Concrete,,,0.15,,0.15,Punched,Y- blinds,PVC
355,1991.00,Residential,9.00,27.00,Y,Concrete,,,0.19,,0.19,Punched,Y- blinds,PVC
356,1991.00,Residential,9.00,26.00,Y,Concrete,,,,0.13,0.13,Punched,Y- blinds,Aluminum
357,1991.00,Residential,10.00,30.00,Y,Concrete,,,0.17,,0.17,Punched,Y- blinds,Aluminum
358,1991.00,Residential,10.00,30.00,Y,Concrete,,,0.18,,0.18,Punched,Y- blinds,Aluminum
359,1991.00,Residential,9.00,26.00,Y,Concrete,,,,0.11,0.11,Punched,Y- blinds,Aluminum
360,1991.00,Retail,5.00,14.00,Y,Concrete,,,0.12,,0.12,Punched,Y- blinds,Aluminum
361,1961.00,University,2.00,6.00,Y,Concrete,0.47,,,,0.47,Tall Ribbon,N,Aluminum
362,1961.00,Residential,1.00,4.00,Y,Concrete,,,,0.10,0.10,Punched,Y- blinds,PVC
363,1991.00,Residential,7.00,20.00,Y,Concrete,,,0.19,,0.19,Punched,Y- blinds,Aluminum
364,1991.00,Residential,8.00,23.00,Y,Concrete,,0.38,,,0.38,Punched,Y- blinds,Aluminum
365,1991.00,Residential,6.00,19.00,Y,Concrete,,,0.21,,0.21,Punched,Y- blinds,Aluminum
366,1991.00,Residential,6.00,18.00,Y,Concrete,0.17,,,,0.17,Punched,Y- blinds,PVC
367,1991.00,Residential,6.00,18.00,Y,Concrete,0.18,,,,0.18,Punched,Y- blinds,PVC
368,1991.00,Residential,6.00,17.00,Y,Concrete,0.11,,,,0.11,Grouped Punched,Y- blinds,PVC
369,1991.00,Residential,6.00,17.00,Y,Concrete,0.09,,,,0.09,Grouped Punched,Y- blinds,PVC
370,1991.00,Residential,5.00,16.00,Y,Concrete,,0.15,,,0.15,Punched,Y- blinds,PVC
371,1991.00,Residential,17.00,50.00,Y,Concrete,,,,0.19,0.19,Grouped Punched,Y- blinds,Aluminum
372,1991.00,Residential,17.00,50.00,Y,Concrete,,,,0.24,0.24,Grouped Punched,Y- blinds,Aluminum
373,1991.00,Residential,16.00,49.00,Y,Concrete,,,,0.22,0.22,Grouped Punched,Y- blinds,Aluminum
374,1991.00,Residential,9.00,26.00,Y,Concrete,0.06,,,,0.06,Punched,Y- blinds,Aluminum
375,1991.00,Residential,6.00,19.00,Y,Concrete,,,,0.15,0.15,Punched,Y- blinds,Aluminum
376,1991.00,Residential,6.00,19.00,Y,Concrete,,,,0.18,0.18,Punched,Y- blinds,Aluminum
377,1991.00,Residential,7.00,21.00,Y,Concrete,,,,0.22,0.22,Punched,N,Aluminum
378,1991.00,Residential,7.00,22.00,Y,Concrete,,,,0.17,0.17,Punched,N,Aluminum
379,1991.00,Residential,8.00,23.00,Y,Concrete,,,,0.16,0.16,Punched,N,Aluminum
380,1991.00,Residential,8.00,23.00,Y,Concrete,,,,0.18,0.18,Punched,N,Aluminum
381,1991.00,Residential,7.00,21.00,Y,Concrete,,,,0.13,0.13,Punched,N,Aluminum
382,1991.00,Residential,7.00,22.00,Y,Concrete,0.13,,,,0.13,Punched,Y- blinds,PVC
383,1991.00,Residential,7.00,21.00,Y,Concrete,0.11,,,,0.11,Punched,Y- blinds,PVC
384,1961.00,Supermarket,2.00,7.00,N,Concrete,0.29,,,,0.29,Grouped Punched,N,Aluminum
385,1946.00,Museum,3.00,10.00,Y,Concrete,,,0.10,,0.10,Grouped Punched,Y- blinds,Aluminum
386,1919.00,Restaurant,3.00,9.00,Y,Concrete,,0.06,,,0.06,Punched,Y- blinds,Wood
387,1919.00,Industrial,4.00,11.00,Y,Concrete,,,0.13,0.12,0.13,Punched,Y- blinds,Aluminum
388,1919.00,Retail,2.00,7.00,Y,Concrete,,,,0.08,0.08,Punched,N,Wood
389,1919.00,Retail,2.00,7.00,Y,Concrete,,,,0.21,0.21,Punched,N,Aluminum
390,1946.00,Office,4.00,11.00,Y,Concrete,,,0.13,,0.13,Punched,Y- blinds,Aluminum
391,1946.00,Office,3.00,9.00,Y,Concrete,,,0.13,,0.13,Punched,Y- blinds,Wood
392,1919.00,Industrial,2.00,7.00,Y,Concrete,,,0.66,,0.66,Nearly Fully Glazed,N,Aluminum
393,1910.00,Parking,2.00,6.00,Y,Concrete,,0.21,,,0.21,Punched,N,PVC
394,1910.00,Restaurant,2.00,6.00,Y,Concrete,,0.23,,,0.23,Grouped Punched,N,Aluminum
395,1991.00,Library,2.00,6.00,Y,Concrete,,,0.24,,0.24,Punched,N,Aluminum
396,1946.00,Office,6.00,18.00,Y,Concrete,,0.64,,,0.64,Nearly Fully Glazed,Y- blinds,Aluminum
397,1946.00,Office,3.00,9.00,Y,Concrete,,0.32,,,0.32,Grouped Punched,Y- blinds,Aluminum
398,1946.00,Office,7.00,21.00,Y,Concrete,,,,0.60,0.60,Grouped Punched,Y- blinds,Aluminum
399,1946.00,Retail,3.00,8.00,Y,Concrete,,,0.29,,0.29,Grouped Punched,N,Aluminum
400,1946.00,Retail,3.00,9.00,Y,Concrete,,,0.31,,0.31,Grouped Punched,N,Aluminum
401,1946.00,Retail,5.00,15.00,Y,Concrete,,,0.35,,0.35,Grouped Punched,Y- blinds,Aluminum
402,1961.00,Residential,2.00,7.00,Y,Concrete,,,0.11,,0.11,Punched,Y- blinds,PVC
403,1946.00,Office,4.00,12.00,Y,Concrete,,,0.27,,0.27,Ribbon,Y- blinds,Aluminum
404,1919.00,Parking,2.00,7.00,Y,Concrete,,,,0.10,0.10,Grouped Punched,N,PVC
405,1919.00,Parking,2.00,7.00,Y,Concrete,,,,0.09,0.09,Grouped Punched,N,PVC
406,1919.00,Retail,3.00,9.00,Y,Concrete,,,0.70,,0.70,Nearly Fully Glazed,N,Aluminum
407,1961.00,Museum,3.00,9.00,Y,Concrete,,,0.16,,0.16,Grouped Punched,N,PVC
408,1961.00,Museum,4.00,12.00,Y,Concrete,,0.08,,,0.08,Punched,Y- blinds,PVC
409,1946.00,School,1.00,4.00,N,Concrete,0.04,,,0.04,0.04,Punched,N,PVC
410,1946.00,School,2.00,6.00,N,Concrete,0.33,,,,0.33,Punched,Y- blinds,Aluminum
411,1961.00,Supermarket,1.00,4.00,N,Concrete,,,,0.52,0.52,Ribbon,Y- blinds,Aluminum
412,1991.00,School,2.00,6.00,Y,Concrete,,0.07,,,0.07,Punched,Y- blinds,Aluminum
413,2012.00,Office,4.00,11.00,N,Concrete,,,,0.04,0.04,Punched,N,PVC
414,2012.00,School,1.00,4.00,Y,Concrete,,,0.10,,0.10,Punched,Y- blinds,PVC
415,1991.00,Hotel,2.00,5.00,N,Concrete,,,0.14,,0.14,Punched,Y- blinds,PVC
416,1961.00,School,2.00,6.00,Y,Concrete,,,0.37,,0.37,Grouped Punched,Y- overhang,Aluminum
417,1961.00,Hospital,1.00,3.00,N,Concrete,,0.13,,,0.13,Grouped Punched,Y- blinds,Aluminum
418,1961.00,Gym,1.00,4.00,Y,Concrete,0.12,,,,0.12,Grouped Punched,Y- blinds,PVC
419,1961.00,Gym,2.00,5.00,Y,Concrete,0.09,,,,0.09,Grouped Punched,Y- blinds,PVC
420,1991.00,Retail,2.00,6.00,Y,Concrete,,0.51,,,0.51,Grouped Punched,"Y- blinds, overhang",Aluminum
421,1961.00,Retail,4.00,12.00,Y,Concrete,,0.04,,,0.04,Punched,N,PVC
422,1961.00,University,4.00,11.00,Y,Concrete,0.40,,,,0.40,Tall Ribbon,Y- blinds,Aluminum
423,1961.00,University,7.00,21.00,Y,Concrete,0.11,,,,0.11,Punched,Y- blinds,Aluminum
424,1961.00,University,1.00,4.00,Y,Concrete,,0.12,,,0.12,Grouped Punched,N,PVC
425,1961.00,University,1.00,4.00,Y,Concrete,,0.33,,,0.33,Grouped Punched,"Y- blinds, overhang",Wood
426,1961.00,Museum,4.00,11.00,Y,Concrete,,0.13,,,0.13,Punched,Y- blinds,Aluminum
427,1961.00,Office,3.00,8.00,Y,Concrete,0.52,,,,0.52,Grouped Punched,N,PVC
428,1961.00,Retail,4.00,12.00,Y,Concrete,0.16,,,,0.16,Punched,N,Aluminum
429,1961.00,Parking,3.00,10.00,Y,Concrete,0.37,,,,0.37,Grouped Punched,N,Aluminum
430,1961.00,Parking,3.00,8.00,Y,Concrete,0.22,,,,0.22,Grouped Punched,N,Aluminum
431,1961.00,Office,7.00,21.00,Y,Concrete,0.32,,,,0.32,Grouped Punched,N,PVC
432,1961.00,Parking,2.00,6.00,Y,Concrete,0.70,,,,0.70,Tall Ribbon,N,Aluminum
433,1961.00,Office,5.00,15.00,Y,Concrete,0.21,,,,0.21,Grouped Punched,N,Aluminum
434,1961.00,Parking,3.00,9.00,Y,Concrete,0.17,,,,0.17,Grouped Punched,N,Aluminum
435,1961.00,Office,3.00,9.00,Y,Concrete,,,0.36,,0.36,Ribbon,N,Aluminum
436,1946.00,Office,3.00,9.00,N,Concrete,,,,0.04,0.04,Punched,Y- blinds,PVC
437,2012.00,Retail,2.00,7.00,Y,Concrete,0.60,,,,0.60,Nearly Fully Glazed,N,Aluminum
438,1961.00,Office,2.00,6.00,Y,Concrete,,,0.13,,0.13,Punched,Y- blinds,Aluminum
439,1961.00,Office,1.00,3.00,Y,Concrete,,,0.45,,0.45,Ribbon,Y- blinds,Aluminum
440,1961.00,Parking,4.00,11.00,Y,Concrete,,,0.13,,0.13,Ribbon,N,Aluminum
441,1991.00,Office,3.00,8.00,Y,Concrete,0.38,,,,0.38,Nearly Fully Glazed,N,Aluminum
442,1961.00,Retail,2.00,5.00,Y,Concrete,,0.50,,,0.50,Ribbon,N,Aluminum
443,1961.00,Retail,2.00,5.00,Y,Concrete,,0.23,,,0.23,Ribbon,N,Aluminum
444,1961.00,Retail,2.00,7.00,Y,Concrete,,0.25,,,0.25,Grouped Punched,Y- blinds,Aluminum
445,1961.00,Retail,1.00,4.00,Y,Concrete,0.01,,,,0.01,Punched,N,PVC
446,1961.00,Retail,1.00,4.00,Y,Concrete,0.03,,,,0.03,Punched,N,PVC
447,1961.00,Residential,2.00,7.00,Y,Concrete,,,,0.19,0.19,Grouped Punched,Y- blinds,PVC
448,1960.00,Residential,7.00,21.00,Y,Concrete,,,,0.34,0.34,Grouped Punched,Y- blinds,PVC
449,1970.00,Residential,7.00,20.00,Y,Concrete,,,,0.34,0.34,Grouped Punched,Y- blinds,Aluminum
450,1970.00,Residential,5.00,14.00,Y,Concrete,,,,0.24,0.24,Grouped Punched,Y- blinds,Aluminum
